sym,result,pnl,equity,entry_time,exit_time,month,date,entry_hour,h4_bucket,h4_key
EURUSD,loss,-9148206.519742249,448262119.46737015,2025-08-25 12:00:00+00:00,2025-08-25 15:03:00+00:00,2025-08,2025-08-25,12,12,2025-08-25_12
EURUSD,loss,-8965242.389347402,439296877.0780228,2025-08-25 14:00:00+00:00,2025-08-25 14:57:00+00:00,2025-08,2025-08-25,14,12,2025-08-25_12
EURUSD,win,17571875.083120912,456868752.16114366,2025-08-25 15:00:00+00:00,2025-08-25 18:39:00+00:00,2025-08,2025-08-25,15,12,2025-08-25_12
EURUSD,win,18274750.086445745,475143502.2475894,2025-08-26 16:00:00+00:00,2025-08-27 04:20:00+00:00,2025-08,2025-08-26,16,16,2025-08-26_16
EURUSD,win,19005740.08990358,494149242.337493,2025-08-26 17:00:00+00:00,2025-08-27 08:09:00+00:00,2025-08,2025-08-26,17,16,2025-08-26_16
EURUSD,win,19765969.69349972,513915212.03099275,2025-08-26 23:00:00+00:00,2025-08-27 03:54:00+00:00,2025-08,2025-08-26,23,20,2025-08-26_20
EURUSD,win,20556608.48123971,534471820.5122325,2025-08-27 01:00:00+00:00,2025-08-27 07:15:00+00:00,2025-08,2025-08-27,1,0,2025-08-27_00
EURUSD,win,21378872.8204893,555850693.3327217,2025-08-27 02:00:00+00:00,2025-08-27 07:30:00+00:00,2025-08,2025-08-27,2,0,2025-08-27_00
EURUSD,win,22234027.73330887,578084721.0660305,2025-08-27 04:00:00+00:00,2025-08-27 08:10:00+00:00,2025-08,2025-08-27,4,4,2025-08-27_04
EURUSD,win,5780847.210660305,583865568.2766908,2025-08-27 08:00:00+00:00,2025-08-27 13:55:00+00:00,2025-08,2025-08-27,8,8,2025-08-27_08
EURUSD,win,5838655.682766908,589704223.9594578,2025-08-27 23:00:00+00:00,2025-08-28 03:50:00+00:00,2025-08,2025-08-27,23,20,2025-08-27_20
EURUSD,win,5897042.239594578,595601266.1990523,2025-08-28 01:00:00+00:00,2025-08-28 03:39:00+00:00,2025-08,2025-08-28,1,0,2025-08-28_00
EURUSD,win,5956012.661990523,601557278.8610429,2025-08-28 02:00:00+00:00,2025-08-28 03:40:00+00:00,2025-08,2025-08-28,2,0,2025-08-28_00
EURUSD,win,6015572.788610429,607572851.6496533,2025-08-28 04:00:00+00:00,2025-08-28 08:42:00+00:00,2025-08,2025-08-28,4,4,2025-08-28_04
EURUSD,loss,-12151457.032993067,595421394.6166602,2025-08-28 07:00:00+00:00,2025-08-28 08:10:00+00:00,2025-08,2025-08-28,7,4,2025-08-28_04
EURUSD,loss,-11908427.892333206,583512966.7243271,2025-08-28 08:00:00+00:00,2025-08-28 08:10:00+00:00,2025-08,2025-08-28,8,8,2025-08-28_08
EURUSD,win,5835129.66724327,589348096.3915703,2025-08-28 13:00:00+00:00,2025-08-28 14:50:00+00:00,2025-08,2025-08-28,13,12,2025-08-28_12
EURUSD,win,5893480.963915705,595241577.355486,2025-08-28 14:00:00+00:00,2025-08-29 01:07:00+00:00,2025-08,2025-08-28,14,12,2025-08-28_12
EURUSD,win,5952415.773554861,601193993.1290408,2025-08-29 03:00:00+00:00,2025-08-29 06:50:00+00:00,2025-08,2025-08-29,3,0,2025-08-29_00
EURUSD,win,6011939.9312904095,607205933.0603312,2025-08-29 04:00:00+00:00,2025-08-29 06:16:00+00:00,2025-08,2025-08-29,4,4,2025-08-29_04
EURUSD,win,24288237.32241325,631494170.3827446,2025-08-29 05:00:00+00:00,2025-08-29 08:33:00+00:00,2025-08,2025-08-29,5,4,2025-08-29_04
EURUSD,loss,-12629883.40765489,618864286.9750897,2025-08-29 17:00:00+00:00,2025-08-29 20:37:00+00:00,2025-08,2025-08-29,17,16,2025-08-29_16
EURUSD,loss,-12377285.739501795,606487001.2355878,2025-08-29 18:00:00+00:00,2025-08-29 20:37:00+00:00,2025-08,2025-08-29,18,16,2025-08-29_16
EURUSD,win,6064870.012355878,612551871.2479438,2025-08-31 23:00:00+00:00,2025-09-01 01:30:00+00:00,2025-08,2025-08-31,23,20,2025-08-31_20
EURUSD,win,6125518.712479439,618677389.9604232,2025-09-01 00:00:00+00:00,2025-09-01 01:15:00+00:00,2025-09,2025-09-01,0,0,2025-09-01_00
EURUSD,win,24747095.59841693,643424485.5588402,2025-09-01 01:00:00+00:00,2025-09-01 08:51:00+00:00,2025-09,2025-09-01,1,0,2025-09-01_00
EURUSD,win,25736979.422353603,669161464.9811938,2025-09-01 02:00:00+00:00,2025-09-01 06:05:00+00:00,2025-09,2025-09-01,2,0,2025-09-01_00
EURUSD,win,26766458.599247754,695927923.5804416,2025-09-01 05:00:00+00:00,2025-09-01 06:07:00+00:00,2025-09,2025-09-01,5,4,2025-09-01_04
EURUSD,win,6959279.235804416,702887202.816246,2025-09-01 19:00:00+00:00,2025-09-02 00:09:00+00:00,2025-09,2025-09-01,19,16,2025-09-01_16
EURUSD,win,7028872.02816246,709916074.8444085,2025-09-02 23:00:00+00:00,2025-09-03 06:30:00+00:00,2025-09,2025-09-02,23,20,2025-09-02_20
EURUSD,win,7099160.748444085,717015235.5928526,2025-09-03 01:00:00+00:00,2025-09-03 05:23:00+00:00,2025-09,2025-09-03,1,0,2025-09-03_00
EURUSD,win,7170152.355928526,724185387.9487811,2025-09-03 02:00:00+00:00,2025-09-03 04:51:00+00:00,2025-09,2025-09-03,2,0,2025-09-03_00
