entry_time,exit_time,dir,pnl,result,exit_type,month,pair
2025-09-02 15:00:00+00:00,2025-09-02 17:36:00+00:00,1,-36.968928571428705,loss,SL,2025-09,EURJPY
2025-09-02 19:00:00+00:00,2025-09-03 03:54:00+00:00,1,42.78312499999686,win,HALF+TP,2025-09,EURJPY
2025-09-03 04:00:00+00:00,2025-09-03 21:29:00+00:00,1,-49.14375000000177,loss,SL,2025-09,EURJPY
2025-09-03 23:00:00+00:00,2025-09-04 02:44:00+00:00,1,-19.69375000000184,loss,SL,2025-09,EURJPY
2025-09-04 04:00:00+00:00,2025-09-04 11:00:00+00:00,1,43.63687499999287,win,HALF+TP,2025-09,EURJPY
2025-09-04 14:00:00+00:00,2025-09-04 15:15:00+00:00,1,-17.48285714285487,loss,SL,2025-09,EURJPY
2025-09-04 16:00:00+00:00,2025-09-05 03:15:00+00:00,1,29.324464285713248,win,HALF+SL,2025-09,EURJPY
2025-09-05 05:00:00+00:00,2025-09-05 15:30:00+00:00,1,17.513392857145504,win,HALF+SL,2025-09,EURJPY
2025-09-05 16:00:00+00:00,2025-09-08 00:00:00+00:00,-1,-46.07357142856756,loss,SL,2025-09,EURJPY
2025-09-08 02:00:00+00:00,2025-09-08 10:02:00+00:00,1,-46.94785714285672,loss,SL,2025-09,EURJPY
2025-09-08 12:00:00+00:00,2025-09-09 03:47:00+00:00,1,20.431071428575365,win,HALF+SL,2025-09,EURJPY
2025-09-09 06:00:00+00:00,2025-09-09 07:12:00+00:00,1,-8.2901785714256,loss,SL,2025-09,EURJPY
2025-09-09 08:00:00+00:00,2025-09-09 11:33:00+00:00,-1,130.72124999999915,win,HALF+TP,2025-09,EURJPY
2025-09-09 20:00:00+00:00,2025-09-10 07:00:00+00:00,-1,10.298571428572245,win,HALF+SL,2025-09,EURJPY
2025-09-10 12:00:00+00:00,2025-09-10 12:27:00+00:00,-1,-8.016428571426104,loss,SL,2025-09,EURJPY
2025-09-10 14:00:00+00:00,2025-09-10 16:46:00+00:00,-1,-20.245357142854914,loss,SL,2025-09,EURJPY
2025-09-10 19:00:00+00:00,2025-09-11 12:28:00+00:00,-1,-30.632142857143663,loss,SL,2025-09,EURJPY
2025-09-11 13:00:00+00:00,2025-09-11 15:16:00+00:00,1,-15.479464285712652,loss,SL,2025-09,EURJPY
2025-09-11 16:00:00+00:00,2025-09-11 16:03:00+00:00,-1,-18.424642857141293,loss,SL,2025-09,EURJPY
2025-09-11 18:00:00+00:00,2025-09-12 09:57:00+00:00,-1,-46.6657142857116,loss,SL,2025-09,EURJPY
2025-09-12 12:00:00+00:00,2025-09-25 19:20:00+00:00,1,225.70187500000145,win,HALF+TP,2025-09,EURJPY
2025-09-25 20:00:00+00:00,2025-09-29 09:00:00+00:00,1,-40.96607142857067,loss,SL,2025-09,EURJPY
2025-09-29 13:00:00+00:00,2025-09-29 14:57:00+00:00,-1,-15.840357142857897,loss,SL,2025-09,EURJPY
2025-09-29 17:00:00+00:00,2025-09-30 09:46:00+00:00,-1,78.35249999999405,win,HALF+TP,2025-09,EURJPY
2025-09-30 12:00:00+00:00,2025-09-30 16:27:00+00:00,-1,48.82875000000979,win,HALF+TP,2025-09,EURJPY
2025-09-30 21:00:00+00:00,2025-10-01 02:30:00+00:00,-1,9.418750000003229,win,HALF+SL,2025-09,EURJPY
2025-10-01 08:00:00+00:00,2025-10-02 13:08:00+00:00,-1,165.8006250000085,win,HALF+TP,2025-10,EURJPY
2025-10-02 17:00:00+00:00,2025-10-03 03:01:00+00:00,-1,24.157857142856187,win,HALF+SL,2025-10,EURJPY
2025-10-03 04:00:00+00:00,2025-10-06 00:00:00+00:00,1,154.235625000004,win,HALF+TP,2025-10,EURJPY
2025-10-06 03:00:00+00:00,2025-10-06 10:42:00+00:00,1,47.983928571429146,win,HALF+SL,2025-10,EURJPY
2025-10-06 12:00:00+00:00,2025-10-07 21:20:00+00:00,1,216.86249999999632,win,HALF+TP,2025-10,EURJPY
2025-10-08 03:00:00+00:00,2025-10-08 09:26:00+00:00,1,-29.577857142857056,loss,SL,2025-10,EURJPY
2025-10-08 11:00:00+00:00,2025-10-09 16:07:00+00:00,1,-57.206250000001546,loss,SL,2025-10,EURJPY
2025-10-09 21:00:00+00:00,2025-10-10 04:06:00+00:00,1,14.628571428571036,win,HALF+SL,2025-10,EURJPY
2025-10-10 08:00:00+00:00,2025-10-10 09:35:00+00:00,1,-18.60428571428656,loss,SL,2025-10,EURJPY
2025-10-10 12:00:00+00:00,2025-10-10 23:53:00+00:00,-1,136.35062499999435,win,HALF+TP,2025-10,EURJPY
2025-10-13 02:00:00+00:00,2025-10-13 04:57:00+00:00,-1,-30.423749999999927,loss,SL,2025-10,EURJPY
2025-10-13 06:00:00+00:00,2025-10-13 09:50:00+00:00,-1,9.98750000000257,win,HALF+SL,2025-10,EURJPY
2025-10-13 21:00:00+00:00,2025-10-14 01:44:00+00:00,-1,12.008392857143235,win,HALF+SL,2025-10,EURJPY
2025-10-14 06:00:00+00:00,2025-10-14 07:03:00+00:00,-1,37.868125000002806,win,HALF+TP,2025-10,EURJPY
2025-10-14 08:00:00+00:00,2025-10-14 17:25:00+00:00,-1,47.137321428570544,win,HALF+SL,2025-10,EURJPY
2025-10-14 21:00:00+00:00,2025-10-15 03:08:00+00:00,-1,15.870535714284983,win,HALF+SL,2025-10,EURJPY
2025-10-15 04:00:00+00:00,2025-10-15 10:17:00+00:00,-1,38.48857142857014,win,HALF+SL,2025-10,EURJPY
2025-10-15 12:00:00+00:00,2025-10-16 18:42:00+00:00,1,50.9769642857151,win,HALF+SL,2025-10,EURJPY
