entry_time,exit_time,dir,ep,exit_price,result,equity,tf
2025-05-20 17:00:00+00:00,2025-05-21 14:54:00+00:00,1,0.5917899999999999,0.5959858035714285,win,5908144.295272388,1h
2025-05-20 20:00:00+00:00,2025-05-21 02:09:00+00:00,1,0.59207,0.5944133035714287,win,6114301.70194388,1h
2025-05-20 22:00:00+00:00,2025-05-20 22:15:00+00:00,1,0.59226,0.59226,loss,6175444.7189633185,1h
2025-05-20 23:00:00+00:00,2025-05-21 00:36:00+00:00,1,0.5925499999999999,0.5940066071428567,win,6390532.608782269,1h
2025-05-21 01:00:00+00:00,2025-05-21 07:04:00+00:00,1,0.59388,0.59388,loss,6454437.934870092,1h
2025-05-21 04:00:00+00:00,2025-05-21 07:11:00+00:00,1,0.59476,0.59337575,loss,6324409.836469603,1h
2025-05-21 10:00:00+00:00,2025-05-21 10:29:00+00:00,1,0.5929399999999999,0.5947279464285713,win,6544884.787214622,1h
2025-05-21 11:00:00+00:00,2025-05-21 19:54:00+00:00,1,0.59397,0.59397,loss,6610333.635086768,1h
2025-05-21 13:00:00+00:00,2025-05-21 16:06:00+00:00,1,0.59415,0.5966568750000001,win,6841038.711010102,1h
2025-05-22 06:00:00+00:00,2025-05-22 08:08:00+00:00,-1,0.5925900000000001,0.593622,loss,6702879.18166055,1h
2025-05-22 17:00:00+00:00,2025-05-23 01:41:00+00:00,-1,0.59021,0.5912316428571429,loss,6567496.45069213,1h
2025-05-22 20:00:00+00:00,2025-05-23 01:05:00+00:00,-1,0.58991,0.5906171785714286,loss,6434262.500361566,1h
2025-05-23 06:00:00+00:00,2025-05-23 07:22:00+00:00,1,0.59187,0.5934652678571433,win,6658459.6335329935,1h
2025-05-23 17:00:00+00:00,2025-05-26 01:58:00+00:00,1,0.5982299999999999,0.6021266964285714,win,6891079.627986417,1h
2025-05-23 19:00:00+00:00,2025-05-26 01:37:00+00:00,1,0.5986499999999999,0.6005343749999996,win,7131358.001620117,1h
2025-05-23 20:00:00+00:00,2025-05-26 01:27:00+00:00,1,0.59881,0.6003142857142856,win,7379778.184836943,1h
2025-05-25 23:00:00+00:00,2025-05-26 01:59:00+00:00,1,0.59924,0.6022083035714287,win,7637450.959756413,1h
