entry_time,exit_time,dir,pnl,result,exit_type,month,period,pair
2026-02-05 02:00:00+00:00,2026-02-05 02:52:00+00:00,1,-10.204464285712334,loss,SL,2026-02,,EURJPY
2026-02-05 08:00:00+00:00,2026-02-05 14:49:00+00:00,1,24.059107142858238,win,HALF+SL,2026-02,,EURJPY
2026-02-05 17:00:00+00:00,2026-02-05 17:29:00+00:00,1,-26.477142857140734,loss,SL,2026-02,,EURJPY
2026-02-05 22:00:00+00:00,2026-02-05 23:55:00+00:00,1,-13.906607142854455,loss,SL,2026-02,,EURJPY
2026-02-06 02:00:00+00:00,2026-02-06 08:16:00+00:00,-1,-43.40249999999912,loss,SL,2026-02,,EURJPY
2026-02-06 14:00:00+00:00,2026-02-06 18:35:00+00:00,1,52.76187500000731,win,HALF+TP,2026-02,,EURJPY
2026-02-06 19:00:00+00:00,2026-02-09 00:00:00+00:00,1,81.80812500001196,win,HALF+TP,2026-02,,EURJPY
2026-02-09 08:00:00+00:00,2026-02-09 09:57:00+00:00,1,46.21312499999419,win,HALF+TP,2026-02,,EURJPY
2026-02-09 12:00:00+00:00,2026-02-10 04:48:00+00:00,1,-71.63696428571598,loss,SL,2026-02,,EURJPY
2026-02-10 11:00:00+00:00,2026-02-10 12:04:00+00:00,-1,37.71812500000067,win,HALF+TP,2026-02,,EURJPY
2026-02-10 15:00:00+00:00,2026-02-10 17:17:00+00:00,-1,116.31000000001563,win,HALF+TP,2026-02,,EURJPY
2026-02-10 22:00:00+00:00,2026-02-11 02:54:00+00:00,-1,55.334375000001046,win,HALF+TP,2026-02,,EURJPY
2026-02-11 03:00:00+00:00,2026-02-11 15:39:00+00:00,-1,161.25312500000177,win,HALF+TP,2026-02,,EURJPY
2026-02-11 19:00:00+00:00,2026-02-12 08:15:00+00:00,-1,53.346071428575215,win,HALF+SL,2026-02,,EURJPY
2026-02-12 16:00:00+00:00,2026-02-12 18:18:00+00:00,-1,150.0631249999998,win,HALF+TP,2026-02,,EURJPY
2026-02-12 23:00:00+00:00,2026-02-13 03:03:00+00:00,-1,-35.360892857141835,loss,SL,2026-02,,EURJPY
2026-02-13 05:00:00+00:00,2026-02-13 06:59:00+00:00,-1,17.956428571429228,win,HALF+SL,2026-02,,EURJPY
2026-02-13 08:00:00+00:00,2026-02-13 10:03:00+00:00,-1,-27.442142857142926,loss,SL,2026-02,,EURJPY
2026-02-13 12:00:00+00:00,2026-02-13 16:28:00+00:00,-1,86.98124999999948,win,HALF+TP,2026-02,,EURJPY
2026-02-13 18:00:00+00:00,2026-02-16 09:11:00+00:00,-1,-40.40482142857229,loss,SL,2026-02,,EURJPY
2026-02-16 10:00:00+00:00,2026-02-16 14:00:00+00:00,1,21.820000000002437,win,HALF+SL,2026-02,,EURJPY
2026-02-16 16:00:00+00:00,2026-02-17 18:16:00+00:00,-1,59.214464285713575,win,HALF+SL,2026-02,,EURJPY
2026-02-17 22:00:00+00:00,2026-02-18 04:00:00+00:00,-1,-21.629821428572882,loss,SL,2026-02,,EURJPY
2026-02-18 06:00:00+00:00,2026-02-18 08:15:00+00:00,1,-16.439285714284324,loss,SL,2026-02,,EURJPY
2026-02-18 10:00:00+00:00,2026-02-18 16:30:00+00:00,1,69.80812500000013,win,HALF+TP,2026-02,,EURJPY
2026-02-18 20:00:00+00:00,2026-02-18 21:03:00+00:00,1,-14.903571428570217,loss,SL,2026-02,,EURJPY
2026-02-19 08:00:00+00:00,2026-02-19 10:04:00+00:00,1,-31.294642857142208,loss,SL,2026-02,,EURJPY
2026-02-19 16:00:00+00:00,2026-02-19 18:06:00+00:00,1,28.009642857145423,win,HALF+SL,2026-02,,EURJPY
2026-02-19 20:00:00+00:00,2026-02-20 02:52:00+00:00,1,21.07910714285879,win,HALF+SL,2026-02,,EURJPY
2026-02-20 07:00:00+00:00,2026-02-20 08:25:00+00:00,1,7.04714285714374,win,HALF+SL,2026-02,,EURJPY
2026-02-20 12:00:00+00:00,2026-02-23 17:52:00+00:00,1,-71.57464285714354,loss,SL,2026-02,,EURJPY
2026-02-23 20:00:00+00:00,2026-02-24 07:43:00+00:00,-1,-66.52803571428763,loss,SL,2026-02,,EURJPY
2025-01-06 04:00:00+00:00,2025-01-06 15:28:00+00:00,1,93.02089285714317,win,HALF+SL,2025-01,,GBPJPY
2025-01-06 17:00:00+00:00,2025-01-08 11:05:00+00:00,1,97.64446428572171,win,HALF+SL,2025-01,,GBPJPY
2025-01-08 12:00:00+00:00,2025-01-09 05:56:00+00:00,-1,263.7312500000064,win,HALF+TP,2025-01,,GBPJPY
2025-01-09 06:00:00+00:00,2025-01-09 09:44:00+00:00,-1,170.84250000000907,win,HALF+TP,2025-01,,GBPJPY
2025-01-09 12:00:00+00:00,2025-01-09 12:56:00+00:00,-1,38.068928571431115,win,HALF+SL,2025-01,,GBPJPY
2025-01-09 14:00:00+00:00,2025-01-09 15:13:00+00:00,-1,21.325000000001637,win,HALF+SL,2025-01,,GBPJPY
2025-01-10 00:00:00+00:00,2025-01-10 02:06:00+00:00,-1,13.02892857143263,win,HALF+SL,2025-01,,GBPJPY
2025-01-10 03:00:00+00:00,2025-01-10 04:32:00+00:00,-1,-44.008571428568644,loss,SL,2025-01,,GBPJPY
2025-01-10 06:00:00+00:00,2025-01-10 09:21:00+00:00,-1,14.281428571430865,win,HALF+SL,2025-01,,GBPJPY
2025-01-10 11:00:00+00:00,2025-01-13 03:46:00+00:00,-1,295.3481249999953,win,HALF+TP,2025-01,,GBPJPY
2025-01-13 04:00:00+00:00,2025-01-13 21:41:00+00:00,-1,106.2410714285761,win,HALF+SL,2025-01,,GBPJPY
2025-01-13 23:00:00+00:00,2025-01-13 23:49:00+00:00,-1,-19.964464285709482,loss,SL,2025-01,,GBPJPY
2025-01-14 12:00:00+00:00,2025-01-14 17:16:00+00:00,-1,47.913035714287844,win,HALF+SL,2025-01,,GBPJPY
2025-01-14 19:00:00+00:00,2025-01-14 20:56:00+00:00,-1,-46.98553571428761,loss,SL,2025-01,,GBPJPY
2025-01-14 23:00:00+00:00,2025-01-15 06:23:00+00:00,1,-33.295535714287894,loss,SL,2025-01,,GBPJPY
2025-01-15 07:00:00+00:00,2025-01-15 15:30:00+00:00,-1,39.67642857143119,win,HALF+SL,2025-01,,GBPJPY
2025-01-15 17:00:00+00:00,2025-01-16 04:02:00+00:00,-1,260.3968750000064,win,HALF+TP,2025-01,,GBPJPY
2025-01-16 11:00:00+00:00,2025-01-17 16:42:00+00:00,-1,67.35642857143205,win,HALF+SL,2025-01,,GBPJPY
2025-01-17 19:00:00+00:00,2025-01-20 00:37:00+00:00,-1,28.80285714285833,win,HALF+SL,2025-01,,GBPJPY
2025-01-20 02:00:00+00:00,2025-01-20 06:46:00+00:00,-1,17.518928571431047,win,HALF+SL,2025-01,,GBPJPY
2025-01-20 10:00:00+00:00,2025-01-20 12:35:00+00:00,-1,33.83803571428814,win,HALF+SL,2025-01,,GBPJPY
2025-01-20 16:00:00+00:00,2025-01-30 15:10:00+00:00,1,145.1694642857177,win,HALF+SL,2025-01,,GBPJPY
2025-01-30 22:00:00+00:00,2025-01-31 07:17:00+00:00,-1,37.39482142857753,win,HALF+SL,2025-01,,GBPJPY
2025-01-31 11:00:00+00:00,2025-01-31 15:08:00+00:00,-1,-62.677499999995234,loss,SL,2025-01,,GBPJPY
2025-01-31 16:00:00+00:00,2025-01-31 17:42:00+00:00,-1,46.92321428571802,win,HALF+SL,2025-01,,GBPJPY
2025-01-31 18:00:00+00:00,2025-02-03 00:00:00+00:00,1,-84.81178571428813,loss,SL,2025-01,,GBPJPY
2025-02-03 09:00:00+00:00,2025-02-03 09:44:00+00:00,-1,-29.21285714285773,loss,SL,2025-02,,GBPJPY
2025-02-03 12:00:00+00:00,2025-02-03 17:24:00+00:00,-1,-120.32857142856983,loss,SL,2025-02,,GBPJPY
2025-02-03 19:00:00+00:00,2025-02-03 23:36:00+00:00,-1,-81.85196428571544,loss,SL,2025-02,,GBPJPY
2025-02-04 00:00:00+00:00,2025-02-05 03:07:00+00:00,1,-99.07500000000198,loss,SL,2025-02,,GBPJPY
2025-02-05 04:00:00+00:00,2025-02-06 21:33:00+00:00,-1,482.0656250000013,win,HALF+TP,2025-02,,GBPJPY
2025-02-07 00:00:00+00:00,2025-02-07 11:07:00+00:00,-1,-92.33714285714143,loss,SL,2025-02,,GBPJPY
2025-02-07 15:00:00+00:00,2025-02-07 17:53:00+00:00,-1,142.2762500000033,win,HALF+TP,2025-02,,GBPJPY
2025-02-07 21:00:00+00:00,2025-02-10 03:07:00+00:00,-1,-61.76142857142963,loss,SL,2025-02,,GBPJPY
2025-02-10 06:00:00+00:00,2025-02-10 07:29:00+00:00,-1,-21.55392857142715,loss,SL,2025-02,,GBPJPY
2025-02-10 12:00:00+00:00,2025-02-10 16:06:00+00:00,-1,115.90999999999099,win,HALF+TP,2025-02,,GBPJPY
2025-02-10 21:00:00+00:00,2025-02-11 00:00:00+00:00,-1,9.295357142858052,win,HALF+SL,2025-02,,GBPJPY
2025-02-11 01:00:00+00:00,2025-02-11 03:23:00+00:00,-1,15.17089285714519,win,HALF+SL,2025-02,,GBPJPY
2025-02-11 04:00:00+00:00,2025-02-11 11:07:00+00:00,-1,29.55517857143093,win,HALF+SL,2025-02,,GBPJPY
2025-02-11 21:00:00+00:00,2025-02-12 01:23:00+00:00,1,82.26125000000195,win,HALF+TP,2025-02,,GBPJPY
2025-02-12 02:00:00+00:00,2025-02-12 17:24:00+00:00,1,225.8356250000105,win,HALF+TP,2025-02,,GBPJPY
