dir,entry,exit,entry_time,exit_time,pnl,reason,pyramids
long,1.53621,1.5260200000000002,2026-01-29 02:48:00,2026-01-29 03:05:00,-10.189999999999921,SL,1
long,1.53585,1.5256800000000001,2026-01-29 03:09:00,2026-01-29 03:18:00,-10.16999999999979,SL,1
long,1.5353966666666665,1.52539,2026-01-29 03:27:00,2026-01-29 03:35:00,-10.006666666666497,SL,2
long,1.535695,1.5254800000000002,2026-01-29 04:35:00,2026-01-29 04:46:00,-10.214999999999863,SL,1
long,1.5360366666666667,1.52607,2026-01-29 07:12:00,2026-01-29 14:40:00,-9.96666666666668,SL,2
long,1.5343449999999998,1.52401,2026-01-29 16:32:00,2026-01-29 16:40:00,-10.334999999999761,SL,1
long,1.5337899999999998,1.5235800000000002,2026-01-29 16:44:00,2026-01-29 16:55:00,-10.209999999999608,SL,1
long,1.533675,1.5234800000000002,2026-01-29 17:07:00,2026-01-29 17:16:00,-10.194999999999732,SL,1
long,1.5345299999999997,1.52437,2026-01-29 17:20:00,2026-01-29 18:07:00,-10.159999999999725,SL,1
long,1.53617,1.5261300000000002,2026-01-29 20:58:00,2026-01-29 21:16:00,-10.039999999999827,SL,2
long,1.5366,1.5264900000000001,2026-01-29 21:18:00,2026-01-29 21:29:00,-10.109999999999841,SL,1
short,1.533236666666667,1.54327,2026-01-30 04:18:00,2026-01-30 05:18:00,-10.033333333332894,SL,2
short,1.53496,1.5450199999999998,2026-01-30 11:38:00,2026-01-30 11:48:00,-10.059999999999736,SL,2
short,1.5353500000000002,1.5504499999999999,2026-01-30 13:09:00,2026-01-30 15:01:00,-15.09999999999967,SL,0
short,1.5383300000000002,1.54857,2026-01-30 16:55:00,2026-01-30 18:55:00,-10.239999999999805,SL,1
short,1.54135,1.55148,2026-01-30 20:36:00,2026-01-30 20:45:00,-10.129999999999972,SL,1
