time,dir,ep,sl,tp,risk,tf,pattern,entry_time,half_closed,wall_tp,next_h4_time,exit_time,exit_price,pnl,type
2024-11-07 11:00:00+00:00,1,154.002,153.83017142857145,154.43157142857143,0.17182857142856278,1h,double_bottom,2024-11-07 11:00:00+00:00,False,154.39,2024-12-03 00:00:00+00:00,2024-11-07 11:01:00+00:00,153.83017142857145,-17.182857142856278,SL
2024-11-07 17:00:00+00:00,1,154.002,152.80252142857142,157.00069642857147,1.1994785714285854,1h,double_bottom,2024-11-07 17:00:00+00:00,False,154.39,2024-12-03 00:00:00+00:00,2024-12-03 00:00:00+00:00,152.80252142857142,-119.94785714285854,SL
2024-12-03 03:00:00+00:00,-1,149.858,150.04790714285716,149.38323214285714,0.1899071428571517,1h,double_top,2024-12-03 03:00:00+00:00,False,149.49,2024-12-03 04:00:00+00:00,2024-12-03 03:01:00+00:00,150.04790714285716,-18.99071428571517,SL
2024-12-03 06:00:00+00:00,-1,150.022,150.27582857142858,149.38742857142853,0.25382857142858484,1h,double_top,2024-12-03 06:00:00+00:00,False,149.49,2024-12-03 08:00:00+00:00,2024-12-03 10:00:00+00:00,149.7681714285714,25.382857142858484,HALF_TP
2024-12-03 06:00:00+00:00,-1,150.022,150.022,149.38742857142853,0.25382857142858484,1h,double_top,2024-12-03 06:00:00+00:00,True,149.49,2024-12-03 08:00:00+00:00,2024-12-03 10:00:00+00:00,150.022,-0.0,SL
2024-12-03 12:00:00+00:00,-1,149.72199999999998,150.39349285714286,148.04326785714278,0.67149285714288,4h,double_top,2024-12-03 12:00:00+00:00,False,149.49,2024-12-03 16:00:00+00:00,2024-12-03 13:00:00+00:00,149.0505071428571,67.149285714288,HALF_TP
2024-12-03 12:00:00+00:00,-1,149.72199999999998,149.72199999999998,148.04326785714278,0.67149285714288,4h,double_top,2024-12-03 12:00:00+00:00,True,149.49,2024-12-03 16:00:00+00:00,2024-12-03 13:00:00+00:00,149.49,23.19999999999709,SWING_TP
2024-12-03 16:00:00+00:00,-1,149.149,150.34207142857142,146.16632142857145,1.1930714285714146,4h,double_top,2024-12-03 16:00:00+00:00,False,148.64,2024-12-03 20:00:00+00:00,2024-12-04 07:00:00+00:00,150.34207142857142,-119.30714285714146,SL
2024-12-04 14:00:00+00:00,-1,151.07,151.27886785714284,150.54783035714286,0.20886785714284883,1h,double_top,2024-12-04 14:00:00+00:00,False,148.64,2024-12-04 16:00:00+00:00,2024-12-04 14:01:00+00:00,150.86113214285714,20.886785714284883,HALF_TP
2024-12-04 14:00:00+00:00,-1,151.07,151.07,150.54783035714286,0.20886785714284883,1h,double_top,2024-12-04 14:00:00+00:00,True,148.64,2024-12-04 16:00:00+00:00,2024-12-04 14:01:00+00:00,151.07,-0.0,SL
2024-12-04 15:00:00+00:00,-1,150.844,151.27566785714285,149.76483035714284,0.4316678571428554,1h,double_top,2024-12-04 15:00:00+00:00,False,148.64,2024-12-04 16:00:00+00:00,2024-12-04 15:01:00+00:00,150.41233214285714,43.16678571428554,HALF_TP
2024-12-04 15:00:00+00:00,-1,150.844,150.844,149.76483035714284,0.4316678571428554,1h,double_top,2024-12-04 15:00:00+00:00,True,148.64,2024-12-04 16:00:00+00:00,2024-12-04 15:01:00+00:00,150.844,-0.0,SL
2024-12-04 16:00:00+00:00,-1,150.39,151.36335,147.95662499999997,0.9733500000000106,4h,double_top,2024-12-04 16:00:00+00:00,False,148.64,2024-12-04 20:00:00+00:00,2025-01-03 00:00:00+00:00,151.36335,-97.33500000000106,SL
2025-01-03 02:00:00+00:00,1,157.27800000000002,157.11734642857144,157.6796339285715,0.1606535714285826,1h,double_bottom,2025-01-03 02:00:00+00:00,False,157.46,2025-01-03 04:00:00+00:00,2025-01-03 03:00:00+00:00,157.4386535714286,16.06535714285826,HALF_TP
