entry_time,exit_time,dir,pnl,result,exit_type,month,pair
2025-04-24 09:00:00+00:00,2025-04-24 09:29:00+00:00,1,28.382500000003574,win,HALF+TP,2025-04,GBPJPY
2025-04-24 12:00:00+00:00,2025-04-25 09:33:00+00:00,1,183.70187499999702,win,HALF+TP,2025-04,GBPJPY
2025-04-25 10:00:00+00:00,2025-04-25 10:18:00+00:00,1,-35.450357142858024,loss,SL,2025-04,GBPJPY
2025-04-25 12:00:00+00:00,2025-04-25 13:47:00+00:00,1,30.925000000002,win,HALF+SL,2025-04,GBPJPY
2025-04-25 16:00:00+00:00,2025-04-30 16:31:00+00:00,1,-69.57017857142489,loss,SL,2025-04,GBPJPY
2025-04-30 20:00:00+00:00,2025-04-30 22:17:00+00:00,1,21.82178571428892,win,HALF+SL,2025-04,GBPJPY
2025-04-30 23:00:00+00:00,2025-04-30 23:33:00+00:00,1,40.49187499999789,win,HALF+TP,2025-04,GBPJPY
2025-05-01 03:00:00+00:00,2025-05-01 06:03:00+00:00,-1,-22.91285714285607,loss,SL,2025-05,GBPJPY
2025-05-01 08:00:00+00:00,2025-05-05 11:49:00+00:00,1,98.07250000000067,win,HALF+SL,2025-05,GBPJPY
2025-05-05 12:00:00+00:00,2025-05-07 10:52:00+00:00,-1,69.38160714285857,win,HALF+SL,2025-05,GBPJPY
2025-05-07 14:00:00+00:00,2025-05-07 17:45:00+00:00,1,63.60750000000053,win,HALF+TP,2025-05,GBPJPY
2025-05-07 20:00:00+00:00,2025-05-07 22:42:00+00:00,-1,29.198928571426563,win,HALF+SL,2025-05,GBPJPY
2025-05-08 04:00:00+00:00,2025-05-08 11:24:00+00:00,1,108.37062500000059,win,HALF+TP,2025-05,GBPJPY
2025-05-08 16:00:00+00:00,2025-05-13 18:12:00+00:00,1,466.2575000000089,win,HALF+TP,2025-05,GBPJPY
2025-05-13 20:00:00+00:00,2025-05-14 11:08:00+00:00,1,-91.99303571428459,loss,SL,2025-05,GBPJPY
2025-05-14 12:00:00+00:00,2025-05-14 19:41:00+00:00,-1,75.01642857143338,win,HALF+SL,2025-05,GBPJPY
2025-05-15 00:00:00+00:00,2025-05-15 03:54:00+00:00,-1,71.01437500000145,win,HALF+TP,2025-05,GBPJPY
2025-05-15 04:00:00+00:00,2025-05-20 03:22:00+00:00,-1,55.55714285714828,win,HALF+SL,2025-05,GBPJPY
2025-05-20 09:00:00+00:00,2025-05-20 19:43:00+00:00,-1,-53.38339285714255,loss,SL,2025-05,GBPJPY
2025-05-20 21:00:00+00:00,2025-05-20 23:43:00+00:00,-1,18.297678571428833,win,HALF+SL,2025-05,GBPJPY
2025-05-21 00:00:00+00:00,2025-05-21 08:41:00+00:00,-1,84.22874999999976,win,HALF+TP,2025-05,GBPJPY
2025-05-21 11:00:00+00:00,2025-05-21 16:25:00+00:00,-1,31.082142857147232,win,HALF+SL,2025-05,GBPJPY
2025-05-21 18:00:00+00:00,2025-05-21 18:20:00+00:00,-1,-21.859642857143058,loss,SL,2025-05,GBPJPY
2025-05-21 20:00:00+00:00,2025-05-21 20:27:00+00:00,-1,60.759375000009186,win,HALF+TP,2025-05,GBPJPY
2025-05-21 21:00:00+00:00,2025-05-22 01:11:00+00:00,-1,-53.33535714285631,loss,SL,2025-05,GBPJPY
2025-05-22 10:00:00+00:00,2025-05-22 13:32:00+00:00,-1,24.885535714287244,win,HALF+SL,2025-05,GBPJPY
2025-05-22 16:00:00+00:00,2025-05-23 14:45:00+00:00,1,71.78339285714799,win,HALF+SL,2025-05,GBPJPY
2025-05-23 15:00:00+00:00,2025-05-26 07:22:00+00:00,-1,-126.43767857142905,loss,SL,2025-05,GBPJPY
2025-05-26 10:00:00+00:00,2025-05-26 18:04:00+00:00,1,-20.06749999999613,loss,SL,2025-05,GBPJPY
2025-05-26 19:00:00+00:00,2025-05-27 01:37:00+00:00,1,-23.43071428571477,loss,SL,2025-05,GBPJPY
2025-05-27 03:00:00+00:00,2025-05-27 07:33:00+00:00,-1,16.107321428575005,win,HALF+SL,2025-05,GBPJPY
2025-05-27 08:00:00+00:00,2025-05-27 14:42:00+00:00,1,229.92499999999723,win,HALF+TP,2025-05,GBPJPY
2025-05-27 20:00:00+00:00,2025-05-28 01:05:00+00:00,1,-17.507678571425345,loss,SL,2025-05,GBPJPY
2025-05-28 06:00:00+00:00,2025-05-28 06:57:00+00:00,1,-35.359464285713216,loss,SL,2025-05,GBPJPY
2025-05-28 10:00:00+00:00,2025-05-29 02:45:00+00:00,1,155.39437500000872,win,HALF+TP,2025-05,GBPJPY
2025-05-29 04:00:00+00:00,2025-05-29 16:25:00+00:00,1,-132.1603571428568,loss,SL,2025-05,GBPJPY
2025-05-29 21:00:00+00:00,2025-05-30 04:04:00+00:00,-1,76.04624999999317,win,HALF+TP,2025-05,GBPJPY
2025-05-30 06:00:00+00:00,2025-05-30 08:07:00+00:00,-1,18.520357142858757,win,HALF+SL,2025-05,GBPJPY
2025-05-30 12:00:00+00:00,2025-05-30 16:00:00+00:00,-1,24.987500000003138,win,HALF+SL,2025-05,GBPJPY
2025-05-30 17:00:00+00:00,2025-05-30 17:36:00+00:00,-1,-37.538392857140934,loss,SL,2025-05,GBPJPY
2025-05-30 19:00:00+00:00,2025-06-03 11:16:00+00:00,-1,185.3931250000045,win,HALF+TP,2025-05,GBPJPY
2025-06-03 16:00:00+00:00,2025-06-04 13:02:00+00:00,1,206.49312500001145,win,HALF+TP,2025-06,GBPJPY
2025-06-04 16:00:00+00:00,2025-06-05 10:53:00+00:00,-1,88.14589285714192,win,HALF+SL,2025-06,GBPJPY
2025-06-05 14:00:00+00:00,2025-06-05 15:30:00+00:00,1,12.031964285711183,win,HALF+SL,2025-06,GBPJPY
2025-06-05 21:00:00+00:00,2025-06-05 22:18:00+00:00,1,-35.21874999999852,loss,SL,2025-06,GBPJPY
2025-06-06 01:00:00+00:00,2025-06-06 10:49:00+00:00,1,19.485892857144904,win,HALF+SL,2025-06,GBPJPY
2025-06-06 12:00:00+00:00,2025-06-06 15:30:00+00:00,1,84.39187500001424,win,HALF+TP,2025-06,GBPJPY
2025-06-06 16:00:00+00:00,2025-06-13 03:05:00+00:00,1,-106.33196428571239,loss,SL,2025-06,GBPJPY
2025-06-13 04:00:00+00:00,2025-06-13 17:57:00+00:00,-1,-153.88517857142574,loss,SL,2025-06,GBPJPY
2025-06-13 18:00:00+00:00,2025-06-17 19:45:00+00:00,1,67.02303571428843,win,HALF+SL,2025-06,GBPJPY
2025-06-17 20:00:00+00:00,2025-06-19 13:45:00+00:00,-1,91.97714285714653,win,HALF+SL,2025-06,GBPJPY
2025-06-19 20:00:00+00:00,2025-06-20 01:01:00+00:00,1,49.94125000002043,win,HALF+TP,2025-06,GBPJPY
2025-06-20 04:00:00+00:00,2025-06-20 09:18:00+00:00,1,23.95910714285776,win,HALF+SL,2025-06,GBPJPY
2025-06-20 21:00:00+00:00,2025-06-20 23:25:00+00:00,1,10.186607142856019,win,HALF+SL,2025-06,GBPJPY
2025-06-23 00:00:00+00:00,2025-06-23 09:30:00+00:00,1,179.61625000000936,win,HALF+TP,2025-06,GBPJPY
2025-06-23 11:00:00+00:00,2025-06-23 14:52:00+00:00,1,-52.02749999999696,loss,SL,2025-06,GBPJPY
2025-06-23 17:00:00+00:00,2025-06-24 04:01:00+00:00,1,-57.47696428570919,loss,SL,2025-06,GBPJPY
2025-06-24 07:00:00+00:00,2025-06-24 10:05:00+00:00,1,-26.605178571429633,loss,SL,2025-06,GBPJPY
2025-06-24 12:00:00+00:00,2025-06-25 16:17:00+00:00,1,160.79937500000767,win,HALF+TP,2025-06,GBPJPY
2025-06-25 18:00:00+00:00,2025-06-26 03:38:00+00:00,1,-30.096428571428646,loss,SL,2025-06,GBPJPY
2025-06-26 05:00:00+00:00,2025-06-26 06:38:00+00:00,1,51.01249999999027,win,HALF+TP,2025-06,GBPJPY
2025-06-26 08:00:00+00:00,2025-06-26 09:13:00+00:00,1,-43.794642857139365,loss,SL,2025-06,GBPJPY
2025-06-26 16:00:00+00:00,2025-06-27 03:30:00+00:00,1,109.57937499999844,win,HALF+TP,2025-06,GBPJPY
2025-06-27 04:00:00+00:00,2025-06-27 21:18:00+00:00,1,-60.232678571426845,loss,SL,2025-06,GBPJPY
2025-06-30 05:00:00+00:00,2025-07-01 11:16:00+00:00,-1,165.21562499999618,win,HALF+TP,2025-06,GBPJPY
2025-07-01 13:00:00+00:00,2025-07-01 14:57:00+00:00,-1,62.371875000008004,win,HALF+TP,2025-07,GBPJPY
2025-07-01 15:00:00+00:00,2025-07-01 18:56:00+00:00,-1,-73.12946428571365,loss,SL,2025-07,GBPJPY
2025-07-02 00:00:00+00:00,2025-07-02 15:22:00+00:00,-1,162.68625000001578,win,HALF+TP,2025-07,GBPJPY
