time,dir,ep,sl,tp,risk,tf,entry_time,half_closed,exit_time,exit_price,pnl,type
2024-10-03 00:59:00+00:00,1,146.57600000000002,146.36727499999998,147.09781250000015,0.2087250000000438,1h,2024-10-03 00:59:00+00:00,False,2024-10-03 01:00:00+00:00,146.78472500000007,20.87250000000438,HALF_TP
2024-10-03 00:59:00+00:00,1,146.57600000000002,146.57600000000002,147.09781250000015,0.2087250000000438,1h,2024-10-03 00:59:00+00:00,True,2024-10-03 01:00:00+00:00,147.09781250000015,52.18125000001237,TP
2024-10-03 03:59:00+00:00,1,146.78300000000002,146.1209892857143,148.4380267857143,0.6620107142857137,4h,2024-10-03 03:59:00+00:00,False,2024-10-04 05:00:00+00:00,146.1209892857143,-66.20107142857137,SL
2024-10-04 06:59:00+00:00,1,146.085,145.88534285714286,146.58414285714287,0.19965714285714853,1h,2024-10-04 06:59:00+00:00,False,2024-10-04 07:00:00+00:00,146.28465714285716,19.965714285714853,HALF_TP
2024-10-04 06:59:00+00:00,1,146.085,146.085,146.58414285714287,0.19965714285714853,1h,2024-10-04 06:59:00+00:00,True,2024-10-04 11:00:00+00:00,146.58414285714287,49.91428571428571,TP
2024-10-04 11:59:00+00:00,1,146.496,146.35773571428572,146.84166071428572,0.1382642857142855,1h,2024-10-04 11:59:00+00:00,False,2024-10-04 12:00:00+00:00,146.6342642857143,13.82642857142855,HALF_TP
2024-10-04 11:59:00+00:00,1,146.496,146.496,146.84166071428572,0.1382642857142855,1h,2024-10-04 11:59:00+00:00,True,2024-10-04 12:00:00+00:00,146.496,0.0,SL
2024-10-04 12:59:00+00:00,1,146.592,146.3820607142857,147.1168482142858,0.20993928571431297,1h,2024-10-04 12:59:00+00:00,False,2024-10-04 13:00:00+00:00,146.80193928571433,20.993928571431297,HALF_TP
2024-10-04 12:59:00+00:00,1,146.592,146.592,147.1168482142858,0.20993928571431297,1h,2024-10-04 12:59:00+00:00,True,2024-10-04 13:00:00+00:00,147.1168482142858,52.48482142857824,TP
2024-10-04 14:59:00+00:00,1,148.40200000000002,148.24967857142855,148.7828035714287,0.1523214285714687,1h,2024-10-04 14:59:00+00:00,False,2024-10-04 15:00:00+00:00,148.55432142857148,15.232142857146869,HALF_TP
