entry_time,exit_time,dir,ep,sl,tp,pnl,result,exit_type,tf,pattern,month,period
2025-01-06 21:00:00+00:00,2025-01-07 02:07:00+00:00,1,157.54149999999998,157.5375,157.92441071428573,53.3675000000045,win,HALF+TP,1h,double_bottom,2025-01,IS
2025-01-07 04:00:00+00:00,2025-01-10 17:20:00+00:00,1,158.3185,157.35050178571427,160.72449553571437,-96.79982142857284,loss,SL,4h,double_bottom,2025-01,IS
2025-01-10 20:00:00+00:00,2025-01-10 20:30:00+00:00,-1,157.6695,157.9355482142857,157.01837946428574,-26.604821428568926,loss,SL,1h,double_top,2025-01,IS
2025-01-10 22:00:00+00:00,2025-01-13 01:53:00+00:00,-1,157.87000000000003,157.87400000000002,157.44094642857152,16.522142857141375,win,HALF+SL,1h,double_top,2025-01,IS
2025-01-13 03:00:00+00:00,2025-01-13 11:31:00+00:00,-1,157.78799999999998,157.79199999999997,157.20989285714276,80.69500000001142,win,HALF+TP,1h,double_top,2025-01,IS
2025-01-13 12:00:00+00:00,2025-01-13 18:20:00+00:00,-1,157.10800000000003,157.75265,155.51037500000012,-64.4649999999956,loss,SL,4h,double_top,2025-01,IS
2025-01-13 23:00:00+00:00,2025-01-14 01:34:00+00:00,-1,157.6505,157.65449999999998,157.11956249999992,74.09125000001211,win,HALF+TP,1h,double_top,2025-01,IS
2025-01-14 02:00:00+00:00,2025-01-14 02:51:00+00:00,-1,157.30550000000002,157.56781607142858,156.6637098214286,-26.23160714285575,loss,SL,1h,double_top,2025-01,IS
2025-01-14 06:00:00+00:00,2025-01-14 10:36:00+00:00,-1,157.5565,157.5605,156.95174553571422,23.550178571431957,win,HALF+SL,1h,double_top,2025-01,IS
2025-01-14 11:00:00+00:00,2025-01-15 06:31:00+00:00,1,157.6985,157.6945,158.80367410714294,43.56696428571922,win,HALF+SL,1h,double_bottom,2025-01,IS
2025-01-15 07:00:00+00:00,2025-01-15 15:30:00+00:00,-1,157.60100000000003,157.60500000000002,156.6594955357143,131.57062500000052,win,HALF+TP,1h,double_top,2025-01,IS
2025-01-15 16:00:00+00:00,2025-01-20 01:16:00+00:00,-1,156.39700000000002,156.401,154.54250000000008,73.53999999999985,win,HALF+SL,1h,double_top,2025-01,IS
2025-01-20 08:00:00+00:00,2025-01-20 16:03:00+00:00,1,156.066,155.62394821428572,157.15712946428573,-44.205178571428405,loss,SL,4h,double_bottom,2025-01,IS
2025-01-21 02:00:00+00:00,2025-01-21 02:52:00+00:00,-1,155.2755,155.75121785714285,154.10020535714284,-47.5717857142854,loss,SL,1h,double_top,2025-01,IS
2025-01-21 04:00:00+00:00,2025-01-21 08:55:00+00:00,-1,155.54,155.54399999999998,153.6383392857142,75.42642857143278,win,HALF+SL,1h,double_top,2025-01,IS
2025-01-21 14:00:00+00:00,2025-01-21 16:25:00+00:00,-1,155.9105,155.9145,155.40665178571436,70.29874999999208,win,HALF+TP,1h,double_top,2025-01,IS
2025-01-21 18:00:00+00:00,2025-01-22 01:09:00+00:00,-1,155.32850000000002,155.77775892857142,154.2193526785715,-44.925892857139615,loss,SL,1h,double_top,2025-01,IS
2025-01-22 03:00:00+00:00,2025-01-22 05:28:00+00:00,-1,155.42300000000003,155.87769821428572,154.30025446428579,-45.46982142856848,loss,SL,1h,double_top,2025-01,IS
2025-01-22 06:00:00+00:00,2025-01-22 10:37:00+00:00,1,155.929,155.59839642857142,156.74150892857148,-33.060357142858265,loss,SL,1h,double_bottom,2025-01,IS
2025-01-22 11:00:00+00:00,2025-01-22 16:44:00+00:00,-1,155.717,156.15507142857143,154.63582142857143,-43.80714285714191,loss,SL,1h,double_top,2025-01,IS
2025-01-22 17:00:00+00:00,2025-01-23 15:35:00+00:00,1,156.158,156.154,157.2720625,43.922500000002174,win,HALF+SL,1h,double_bottom,2025-01,IS
2025-01-23 16:00:00+00:00,2025-01-24 14:02:00+00:00,-1,156.20450000000002,156.20850000000002,154.75154017857142,57.47839285714633,win,HALF+SL,4h,double_top,2025-01,IS
2025-01-24 16:00:00+00:00,2025-01-27 02:27:00+00:00,-1,156.321,156.325,155.51416964285704,112.71625000001393,win,HALF+TP,1h,double_top,2025-01,IS
2025-01-27 03:00:00+00:00,2025-01-27 06:24:00+00:00,-1,155.528,155.89507678571434,154.62430803571408,-36.7076785714346,loss,SL,1h,double_top,2025-01,IS
2025-01-27 11:00:00+00:00,2025-01-28 02:26:00+00:00,-1,155.131,155.135,152.85171874999995,90.53125000000364,win,HALF+SL,1h,double_top,2025-01,IS
2025-01-28 06:00:00+00:00,2025-01-28 11:31:00+00:00,1,155.7395,155.35504464285714,156.68663839285716,-38.445535714285484,loss,SL,1h,double_bottom,2025-01,IS
2025-01-28 13:00:00+00:00,2025-01-28 16:46:00+00:00,1,155.479,155.15778035714288,156.26804910714287,-32.121964285713034,loss,SL,1h,double_bottom,2025-01,IS
2025-01-28 20:00:00+00:00,2025-01-30 02:22:00+00:00,1,155.60999999999999,154.939475,157.2723125,-67.05249999999978,loss,SL,4h,double_bottom,2025-01,IS
2025-01-30 03:00:00+00:00,2025-01-31 07:30:00+00:00,-1,154.7185,154.7225,153.31314285714282,55.57428571428886,win,HALF+SL,1h,double_top,2025-01,IS
2025-01-31 09:00:00+00:00,2025-01-31 15:35:00+00:00,-1,154.6885,154.98210357142858,153.96849107142853,-29.36035714285765,loss,SL,1h,double_top,2025-01,IS
2025-01-31 17:00:00+00:00,2025-01-31 20:19:00+00:00,-1,154.61950000000002,155.06352142857142,153.52344642857148,-44.40214285714035,loss,SL,1h,double_top,2025-01,IS
2025-02-03 04:00:00+00:00,2025-02-03 13:35:00+00:00,1,155.71149999999997,154.66743392857143,158.30766517857137,-104.40660714285457,loss,SL,4h,double_bottom,2025-02,IS
2025-02-03 17:00:00+00:00,2025-02-03 17:24:00+00:00,-1,154.51950000000002,154.5235,153.60011607142866,36.135357142856606,win,HALF+SL,1h,double_top,2025-02,IS
2025-02-03 19:00:00+00:00,2025-02-03 20:40:00+00:00,-1,154.68800000000002,154.92478392857143,154.11004017857147,-23.67839285714126,loss,SL,1h,double_top,2025-02,IS
2025-02-03 22:00:00+00:00,2025-02-03 23:37:00+00:00,-1,154.8955,154.8995,154.47754910714286,16.078035714286898,win,HALF+SL,1h,double_top,2025-02,IS
2025-02-04 02:00:00+00:00,2025-02-04 17:11:00+00:00,1,155.273,154.65504821428573,156.8038794642857,-61.795178571426845,loss,SL,1h,double_bottom,2025-02,IS
2025-02-04 20:00:00+00:00,2025-02-07 01:12:00+00:00,-1,154.26700000000002,154.27100000000002,151.2240223214286,425.7768749999997,win,HALF+TP,4h,double_top,2025-02,IS
2025-02-07 02:00:00+00:00,2025-02-07 03:23:00+00:00,-1,151.17100000000002,151.540675,150.26081250000004,-36.967499999997244,loss,SL,1h,double_top,2025-02,IS
2025-02-07 06:00:00+00:00,2025-02-07 07:50:00+00:00,-1,151.5805,151.78692678571431,151.07843303571417,-20.64267857143136,loss,SL,1h,double_top,2025-02,IS
2025-02-07 10:00:00+00:00,2025-02-07 10:28:00+00:00,-1,151.8185,151.8225,151.5692589285714,9.329642857144904,win,HALF+SL,1h,double_top,2025-02,IS
2025-02-07 11:00:00+00:00,2025-02-07 12:05:00+00:00,-1,151.739,151.92815357142857,151.28011607142855,-18.915357142856237,loss,SL,1h,double_top,2025-02,IS
2025-02-07 15:00:00+00:00,2025-02-07 15:30:00+00:00,-1,152.0095,152.0135,151.31130357142854,27.287857142860616,win,HALF+SL,1h,double_top,2025-02,IS
2025-02-07 21:00:00+00:00,2025-02-10 02:58:00+00:00,-1,151.3835,151.91989107142862,150.05652232142842,-53.639107142862485,loss,SL,1h,double_top,2025-02,IS
2025-02-10 03:00:00+00:00,2025-02-10 03:02:00+00:00,-1,151.87300000000002,151.9866125,151.60296875,-11.36124999999879,loss,SL,1h,double_top,2025-02,IS
2025-02-10 06:00:00+00:00,2025-02-10 10:11:00+00:00,-1,151.919,152.26442142857144,151.0694464285714,-34.54214285714272,loss,SL,1h,double_top,2025-02,IS
2025-02-10 15:00:00+00:00,2025-02-10 20:55:00+00:00,-1,152.06550000000001,152.0695,151.53167857142856,20.712857142859775,win,HALF+SL,1h,double_top,2025-02,IS
2025-02-10 22:00:00+00:00,2025-02-11 03:23:00+00:00,-1,151.97600000000003,151.98000000000002,151.66087946428576,11.964821428571781,win,HALF+SL,1h,double_top,2025-02,IS
2025-02-11 05:00:00+00:00,2025-02-11 08:29:00+00:00,-1,151.96900000000002,151.973,151.6836741071429,10.773035714285584,win,HALF+SL,1h,double_top,2025-02,IS
2025-02-11 09:00:00+00:00,2025-02-11 09:52:00+00:00,-1,151.915,152.0266,151.64999999999992,-11.160000000000991,loss,SL,1h,double_top,2025-02,IS
