entry_time,exit_time,dir,pnl,result,exit_type,month
2025-07-22 11:00:00+00:00,2025-07-22 15:45:00+00:00,-1,92.11937499999294,win,HALF+TP,2025-07
2025-07-22 23:00:00+00:00,2025-07-22 23:15:00+00:00,-1,-7.87017857142871,loss,SL,2025-07
2025-07-23 01:00:00+00:00,2025-07-23 01:30:00+00:00,-1,-10.65803571428603,loss,SL,2025-07
2025-07-23 10:00:00+00:00,2025-07-24 16:15:00+00:00,-1,39.71142857143093,win,HALF+SL,2025-07
2025-07-24 17:00:00+00:00,2025-07-24 18:00:00+00:00,-1,-36.996428571424644,loss,SL,2025-07
2025-07-24 20:00:00+00:00,2025-07-28 14:00:00+00:00,1,215.2206250000006,win,HALF+TP,2025-07
2025-07-28 20:00:00+00:00,2025-07-30 06:00:00+00:00,1,-62.03892857143103,loss,SL,2025-07
2025-07-30 09:00:00+00:00,2025-07-30 10:15:00+00:00,-1,16.33089285714391,win,HALF+SL,2025-07
2025-07-30 16:00:00+00:00,2025-08-01 15:45:00+00:00,1,110.76375000000098,win,HALF+SL,2025-07
2025-08-01 16:00:00+00:00,2025-08-22 04:45:00+00:00,-1,213.1064285714274,win,HALF+SL,2025-08
2025-08-22 07:00:00+00:00,2025-08-22 09:30:00+00:00,1,-24.44892857142804,loss,SL,2025-08
2025-08-22 11:00:00+00:00,2025-08-22 17:00:00+00:00,1,-22.078035714287125,loss,SL,2025-08
2025-08-22 20:00:00+00:00,2025-08-22 22:00:00+00:00,-1,-23.57285714285524,loss,SL,2025-08
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,-1,9.28142857143257,win,HALF+SL,2025-08
2025-08-25 08:00:00+00:00,2025-08-25 18:30:00+00:00,-1,-37.06928571428705,loss,SL,2025-08
2025-08-25 20:00:00+00:00,2025-08-26 03:00:00+00:00,1,38.261071428573246,win,HALF+SL,2025-08
2025-08-26 08:00:00+00:00,2025-08-26 08:15:00+00:00,-1,-8.118571428573773,loss,SL,2025-08
2025-08-26 12:00:00+00:00,2025-08-27 03:15:00+00:00,-1,41.14107142857506,win,HALF+SL,2025-08
2025-08-27 04:00:00+00:00,2025-08-27 19:30:00+00:00,1,36.976250000003574,win,HALF+SL,2025-08
2025-08-27 20:00:00+00:00,2025-09-02 10:00:00+00:00,-1,-90.02035714285626,loss,SL,2025-08
2025-09-02 11:00:00+00:00,2025-09-04 04:30:00+00:00,1,-78.30964285714117,loss,SL,2025-09
2025-09-04 08:00:00+00:00,2025-09-05 03:45:00+00:00,1,51.561785714289954,win,HALF+SL,2025-09
2025-09-05 06:00:00+00:00,2025-09-05 15:00:00+00:00,1,-12.827142857142348,loss,SL,2025-09
2025-09-05 16:00:00+00:00,2025-09-08 01:30:00+00:00,-1,-104.642321428571,loss,SL,2025-09
2025-09-08 02:00:00+00:00,2025-09-08 09:45:00+00:00,1,-55.512499999997544,loss,SL,2025-09
2025-09-08 10:00:00+00:00,2025-09-09 08:45:00+00:00,-1,136.65312499999516,win,HALF+TP,2025-09
2025-09-09 12:00:00+00:00,2025-09-10 04:00:00+00:00,-1,-87.19214285714258,loss,SL,2025-09
2025-09-10 12:00:00+00:00,2025-09-10 15:30:00+00:00,1,-31.9598214285719,loss,SL,2025-09
2025-09-10 17:00:00+00:00,2025-09-11 09:00:00+00:00,-1,-34.18607142857013,loss,SL,2025-09
2025-09-11 12:00:00+00:00,2025-09-11 17:00:00+00:00,1,-59.49035714285742,loss,SL,2025-09
2025-09-11 22:00:00+00:00,2025-09-12 04:30:00+00:00,-1,-17.092142857143244,loss,SL,2025-09
2025-09-12 07:00:00+00:00,2025-09-12 08:30:00+00:00,1,6.272500000000036,win,HALF+SL,2025-09
2025-09-12 10:00:00+00:00,2025-09-12 10:15:00+00:00,1,-10.574285714281473,loss,SL,2025-09
